C.Type,E.Type,C.Env,E.Env,C.Rep,E.Rep,Species,Individual,FrondArea
Ancestral,Original,5,5,1,B,Wc,1,0.1812
Ancestral,Original,5,5,1,B,Wc,1,0.1812
Ancestral,Original,5,5,1,B,Wc,1,0.1812
Ancestral,Original,5,5,1,B,Wc,1,0.1812
Ancestral,Original,5,5,1,B,Wc,1,0.1812
Ancestral,Original,5,5,1,B,Wc,1,0.1812
Derived,Original,2,5,2,A,Wc,4,0.1819
Derived,Original,2,5,1,A,Wc,1,0.1821
Derived,Original,2,5,2,B,Wc,3,0.1824
Derived,Modified,2,2,2,B,Wc,7,0.183
Derived,Modified,6,6,2,B,Wc,10,0.1833
Ancestral,Modified,5,1,1,B,Wc,1,0.1835
Ancestral,Modified,5,7,2,B,Wc,2,0.1835
Derived,Original,8,5,2,B,Wc,4,0.1839
Derived,Modified,8,8,2,B,Wc,8,0.1839
Ancestral,Modified,5,6,2,A,Wc,2,0.1841
Derived,Modified,8,8,1,B,Wc,7,0.1841
Derived,Original,8,5,2,A,Wc,2,0.1849
Derived,Modified,7,7,2,B,Wc,9,0.1855
Derived,Original,7,5,1,A,Wc,5,0.1857
Derived,Modified,7,7,2,B,Wc,6,0.1861
Derived,Original,2,5,2,B,Wc,4,0.1864
Derived,Modified,7,7,1,B,Wc,6,0.1869
Derived,Original,9,5,2,B,Wc,8,0.1869
Derived,Modified,3,3,1,B,Wc,1,0.1873
Derived,Original,7,5,1,A,Wc,8,0.1873
Derived,Original,8,5,2,B,Wc,8,0.1877
Derived,Original,7,5,2,A,Wc,3,0.1879
Derived,Modified,9,9,1,A,Wc,6,0.1879
Ancestral,Modified,5,8,1,B,Wc,1,0.1882
Derived,Original,6,5,1,A,Wc,7,0.1883
Derived,Original,6,5,2,A,Wc,8,0.1883
Derived,Modified,6,6,1,B,Wc,7,0.1892
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
Ancestral,Original,5,5,1,A,Wc,2,0.1893
Ancestral,Original,5,5,1,B,Wc,2,0.1893
